"name","anzahl_global","cluster","centroid"
"#DemsinPHL",1,3,""
"#RNCInCLE",3,3,""
"#polls",1,3,""
"#TrumpYourself",4,3,""
"#TheDonald",1,3,""
"#JimmyFallon",1,3,""
"#Hillary2016",1,3,""
"#BlacksForTrump",1,3,""
"#DNCinPHL",1,3,""
"#DemConvention",14,3,""
"#ADA",1,3,""
"#RNCINCLE",1,3,""
"#Polls",1,3,""
"#BlackMenForBernie",1,3,""
"#DefendtheSecond",1,2,""
"#ElectionDay",1,2,2
