"716";"#MAGA";"#TBT";1
"717";"#MAGA";"#Trump2016";4
"718";"#MAGA";"#TRUMP2016";1
"719";"#MAGA";"#TrumpMovement";1
"720";"#MAGA";"#TrumpPence16";5
"721";"#MAGA";"#TrumpTrain";3
"722";"#MAGA";"#TrumpWon";1
"723";"#MAGA";"#WIPrimary";1
"724";"#Mahalo";"#TrumpWaikiki";1
"725";"#MaitnerStrong";"#TeamTrump";1
"726";"#makeamericagreatagain";"#trump";1
"727";"#makeamericagreatagain";"#WeAreBernie";1
"728";"#makeamericagreatagain";"#WeWantTrump";1
"729";"#MakeAmericaGreatAgain";"#NewDay";1
"730";"#MakeAmericaGreatAgain";"#POTUS";1
"731";"#MakeAmericaGreatAgain";"#RNCinCLE";1
"732";"#MakeAmericaGreatAgain";"#SCPrimary";3
"733";"#MakeAmericaGreatAgain";"#StopCommonCore";1
"734";"#MakeAmericaGreatAgain";"#SuperTuesday";7
"735";"#MakeAmericaGreatAgain";"#trump2016";2
"736";"#MakeAmericaGreatAgain";"#Trump2016";103
"737";"#MakeAmericaGreatAgain";"#TrumpIsWithYou";1
"738";"#MakeAmericaGreatAgain";"#TrumpTrain";8
"739";"#MakeAmericaGreatAgain";"#USA";1
"740";"#MakeAmericaGreatAgain";"#UtahCaucus";1
"741";"#MakeAmericaGreatAgain";"#UTCaucus";1
"742";"#MakeAmericaGreatAgain";"#VoterRegistrationDay";1
"743";"#MakeAmericaGreatAgain";"#VotersSpeak";1
"744";"#MakeAmericaGreatAgain";"#VoteTrump";18
"745";"#MakeAmericaGreatAgain";"#VoteTrumpNH";1
"746";"#MakeAmericaGreatAgain";"#VoteTrumpNY";1
"747";"#MakeAmericaGreatAgain";"#VoteTrumpSC";1
"748";"#MakeAmericaGreatAgain";"#WIPrimary";1
"749";"#MakeAmericaGreatAgain";"#Wisconsin";1
"750";"#MakeAmericaGreatAgain";"#With_Cruz_you_lose";1
"751";"#MAKEAMERICAGREATAGAIN";"#ObamaCare";1
"752";"#MakeYoutubeGreatAgain";"#Trump2016";1
"753";"#MaryBrigidMcManamon";"#NaturalBorn";1
"754";"#MaryBrigidMcManamon";"#TedCruz";1
"755";"#MDPrimary";"#PAPrimary";1
"756";"#MDPrimary";"#RIPrimary";1
"757";"#MeetTheTrumps";"#Trump2016";1
"758";"#Mexico";"#Trump";1
"759";"#MichaelBrown";"#MothersoftheMovement";1
"760";"#MichaelMoore";"#ROGERAILES";1
"761";"#Mormon";"#TrumpCountry";1
"762";"#Mormon";"#Utah";1
"763";"#Mormon";"#Utah4Trump";1
"764";"#Mormon";"#UtahPrimary";1
"765";"#MSM";"#VoterFraud";1
"766";"#NASCAR";"#Trump2016";1
"767";"#NASCAR";"#VoteTrump";1
"768";"#NATO";"#StandTogether";1
"769";"#NaturalBorn";"#TedCruz";1
"770";"#NebraskaPrimary";"#Trump2016";1
"771";"#NebraskaPrimary";"#TrumpForPresident";1
"772";"#NevadaCaucus";"#VoteTrumpNV";4
"773";"#NeverDems";"#Teachers4Trump";1
"774";"#NeverForget";"#Srebrenica";1
"775";"#NeverHillary";"#SCOTUS";1
"776";"#NeverHillary";"#TrumpPence2016";1
"777";"#NewHampshire";"#VoteTrumpNH";1
"778";"#NewYork";"#NewYorkValues";1
"779";"#NewYorkValues";"#NYPrimary";1
"780";"#NewYorkValues";"#Trump2016";1
"781";"#NewYorkValues";"#VoteTrump";1
"782";"#NHPolitics";"#Trump2016";2
"783";"#NHPrimary";"#VoteTrumpNH";2
"784";"#NoBillNoBreak";"#NoMoreSilence";2
"785";"#NoBillNoBreak";"#sitin";1
"786";"#NoMoreSilence";"#sitin";1
"787";"#NYPrimary";"#Trump2016";3
"788";"#NYPrimary";"#TrumpTrain";1
"789";"#NYPrimary";"#VoteTrump";1
"790";"#OpeningCeremony";"#Rio2016";1
"791";"#OpeningCeremony";"#TeamUSA";1
"792";"#Orlando";"#StoptheHate";1
"793";"#ORPrimary";"#VoteTrump";1
"794";"#PAPrimary";"#RIPrimary";1
"795";"#PAPrimary";"#VoteTrump";1
"796";"#Polls";"#slipping";1
"797";"#POTUS";"#PrimaryDay";1
"798";"#POTUS";"#Trump2016";2
"799";"#POTUS";"#VoteTrumpNY";1
"800";"#presidenttrump";"#primary";1
"801";"#presidenttrump";"#Trump2016";1
"802";"#primary";"#Trump2016";1
"803";"#PrimaryDay";"#Trump2016";1
"804";"#PrimaryDay";"#VoteTrumpNY";1
"805";"#Racine";"#Trump2016";1
"806";"#Racine";"#TrumpTrain";1
"807";"#Racine";"#Wausau";1
"808";"#Racine";"#WIPrimary";1
"809";"#Rio2016";"#TeamUSA";1
"810";"#RIPrimary";"#VoteTrump";1
"811";"#RNC";"#Trump2016";1
"812";"#RNCinCLE";"#TrumpIsWithYou";1
"813";"#RNCinCLE";"#TrumpPence2016";1
"814";"#RTM2016";"#Trump2016";1
"815";"#SB50";"#SuperBowlSunday";1
"816";"#SCPrimary";"#Trump2016";3
"817";"#SCPrimary";"#VoteTrumpSC";2
"818";"#smallbiz";"#taxplan";1
"819";"#Statehood";"#WashingtonDC";1
"820";"#SuperSaturday";"#Trump2016";2
"821";"#SuperTuesday";"#Trump2016";12
"822";"#SuperTuesday";"#VoteTrump";5
"823";"#TheDonald";"#TheTonightShow";1
"824";"#TheDonald";"#TrumpPence16";1
"825";"#TheTonightShow";"#TrumpPence16";1
"826";"#trump";"#WeAreBernie";1
"827";"#trump";"#WeWantTrump";1
"828";"#trump2016";"#With_Cruz_you_lose";1
"829";"#Trump2016";"#TrumpForPresident";1
"830";"#Trump2016";"#TrumpNV";1
"831";"#Trump2016";"#TrumpTrain";10
"832";"#Trump2016";"#UtahCaucus";1
"833";"#Trump2016";"#UTCaucus";1
"834";"#Trump2016";"#VoteTrump";14
"835";"#Trump2016";"#VoteTrumpNV";2
"836";"#Trump2016";"#VoteTrumpNY";2
"837";"#Trump2016";"#VoteTrumpSC";4
"838";"#Trump2016";"#WattersWorld";1
"839";"#Trump2016";"#Wausau";1
"840";"#Trump2016";"#WesternTuesday";1
"841";"#Trump2016";"#WIPrimary";10
"842";"#Trump2016";"#Women4Ttump";1
"843";"#TrumpCountry";"#Utah";1
"844";"#TrumpCountry";"#Utah4Trump";1
"845";"#TrumpCountry";"#UtahPrimary";1
"846";"#TrumpTrain";"#VoteTrump2016";1
"847";"#TrumpTrain";"#Wausau";1
"848";"#TrumpTrain";"#WesternTuesday";1
"849";"#TrumpTrain";"#WIPrimary";1
"850";"#TrumpTrain";"#Wisconsin";1
"851";"#Utah";"#Utah4Trump";1
"852";"#Utah";"#UtahPrimary";1
"853";"#Utah4Trump";"#UtahPrimary";1
"854";"#UtahCaucus";"#UTCaucus";2
"855";"#UtahCaucus";"#VoteTrump";1
"856";"#UTCaucus";"#VoteTrump";1
"857";"#VoteTrump";"#WIPrimary";1
"858";"#VoteTrumpWI";"#WIPrimary";1
"859";"#Wausau";"#WIPrimary";1
"860";"#WeAreBernie";"#WeWantTrump";1
"";"";"";
 
