name1;name2;weight;Source;Target
#RNCinCLE;#RNCwithBernie;16.93156241;257;265
#StrongerTogether;#LoveTrumpsHate;16.85032354;292;158
#LoveTrumpsHate;#StrongerTogether;16.84844533;158;292
#Debates2016;#ISIS;16.81105217;65;145
#POTUS;#UPUPUP;16.80890566;247;337
#UPUPUP;#POTUS;16.80672269;337;247
#MAGA;#debate;16.34442721;172;63
#TedCruz;#VoteTrump;16.24316137;306;348
#TedCruz;#MakeAmericaGreatAgain;16.24316137;306;173
#NoMoreSilence;#NotOneMore;16.00303596;231;232
#Trump2016;#NewYork;15.87138384;314;227
#Trump2016;#Jonas;15.87138384;314;149
#NewYorkValues;#MakeAmericaGreatAgain;15.76219623;228;173
#NotOneMore;#NoMoreSilence;15.7480315;232;231
#NotOneMore;#holdthefloor;15.7480315;232;129
#holdthefloor;#NotOneMore;15.7480315;129;232
#MakeAmericaGreatAgain;#WattersWorld;15.67577948;173;363
#NewYorkValues;#Trump2016;15.41810349;228;314
#MakeAmericaGreatAgain;#WATCH;15.20839814;173;363
#IACaucus;#NewYorkValues;15.18037331;131;228
#IACaucus;#NewYork;15.18037331;131;227
#IACaucus;#Jonas;15.18037331;131;149
#MakeAmericaGreatAgain;#NewYork;15.16150772;173;227
#MakeAmericaGreatAgain;#Jonas;15.16150772;173;149
#MakeAmericaGreatAgain;#TedCruz;15.12740362;173;306
#MakeAmericaGreatAgain;#LaurenceTribe;15.12084546;173;156
#SCPrimary;#WATCH;14.99691663;277;363
#WATCH;#SCPrimary;14.92537313;363;277
#WATCH;#MakeAmericaGreatAgain;14.92537313;363;173
#VoteTrump;#TedCruz;14.80468866;348;306
#VoteTrump;#LaurenceTribe;14.80428719;348;156
#NewYorkValues;#IACaucus;14.70745377;228;131
#NewYork;#IACaucus;14.70588235;227;131
#NewYork;#Trump2016;14.70588235;227;314
#NewYork;#MakeAmericaGreatAgain;14.70588235;227;173
#Jonas;#IACaucus;14.70588235;149;131
#Jonas;#Trump2016;14.70588235;149;314
#Jonas;#MakeAmericaGreatAgain;14.70588235;149;173
#LaurenceTribe;#VoteTrump;14.70588235;156;348
#LaurenceTribe;#MakeAmericaGreatAgain;14.70588235;156;173
#AmericaFirst;#TrumpTrain;14.5578242;15;328
#RNCinCLE;#GOPConvention;14.52576065;257;110
#ImWithHer;#debatenight;14.49795136;133;64
#RNCinCLE;#RNCInCLE;14.10309473;257;257
#Benghazi;#DebateNight;13.98601399;23;64
#Trump2016;#GOPDebate;13.98242901;314;112
#vaticanwalls;#Trump2016;13.69863014;346;314
#vaticanwalls;#VoteTrumpSC;13.69863014;346;357
#Debates2016;#AmericaFirst;13.52088425;65;15
#Debates2016;#TrumpTrain;13.47917176;65;328
#NationalVoterRegistrationDay;#MAGA;13.47810083;205;172
#SOTU;#Trump2016;13.39317903;281;314
#MAGA;#LibrarianOfCongress;13.38606726;172;158
#debate;#TPP;13.33059861;63;312
#DemsInPhilly;#StopGunViolence;13.3245695;75;290
#AmericaFirst;#LibrarianOfCongress;13.31133749;15;158
#DemsInPhilly;#WeMadeHistory;13.27424168;75;364
#DemocraticSitIn;#imwithyou;13.24503311;71;133
#imwithyou;#DemocraticSitIn;13.24503311;133;71
#Debates2016;#Debate;13.23594767;65;63
#ImWithYou;#TrumpPence16;13.22303528;133;325
#LibrarianOfCongress;#AmericaFirst;13.15789474;158;15
#LibrarianOfCongress;#MAGA;13.15789474;158;172
#DemsInPhilly;#DemsinPhilly;13.15709037;75;75
#TrumpTrain;#Debates2016;12.92905554;328;65
#Trump2016;#POTUS;12.86348602;314;247
#DebateNight;#ImWithHer;12.83981247;64;133
#Trump2016;#IACaucus;12.81564738;314;131
#MakeAmericaGreatAgain;#WakeUpAmerica;12.53325127;173;362
#WattersWorld;#MakeAmericaGreatAgain;12.42236025;363;173
#TrumpTrain;#TRUMPDOG;12.25137059;328;319
#WakeUpAmerica;#MakeAmericaGreatAgain;12.19719302;362;173
