"name1","name2","aehnlichkeit"
"#NABJNAHJ16","#TheTonightShow","1.0"
"#JuntosSePuede","#TheTonightShow","1.0"
"#NBCNewsForum","#TheTonightShow","1.0"
"#RosanellEaton","#TheTonightShow","1.0"
"#CoastGuardDay","#TheTonightShow","1.0"
"#Debate","#TheTonightShow","1.0"
"#media","#TheTonightShow","1.0"
"#Frozen","#TheTonightShow","1.0"
"#RollCallVote","#TheTonightShow","1.0"
"#RNCwithBernie","#TheTonightShow","1.0"
"#DNC","#TheTonightShow","1.0"
"#LawandOrder","#TheTonightShow","1.0"
"#LaborDay","#TheTonightShow","1.0"
"#IranDeal","#TheTonightShow","1.0"
"#Obamacare","#TheTonightShow","1.0"
"#TeamTrump","#TheTonightShow","1.0"
"#DACA","#TheTonightShow","1.0"
"#extremevetting","#TheTonightShow","1.0"
"#ALConvention2016","#TheTonightShow","1.0"
"#debatenight","#TheTonightShow","1.0"
"#debate","#TheTonightShow","1.0"
"#enough","#TheTonightShow","1.0"
"#DemsInPhilly","#TheTonightShow","1.0"
"#StrongerTogether","#TheTonightShow","1.0"
"#MakeAmericaSafeAgain","#TheTonightShow","1.0"
"#Pulse","#TheTonightShow","1.0"
"#Polls","#TheTonightShow","1.0"
"#slipping","#TheTonightShow","1.0"
"#RNCINCLE","#TheTonightShow","1.0"
"#ElectionDay","#TheTonightShow","1.0"
"#DebateNight","#TheTonightShow","1.0"
"#Debates2016","#TheTonightShow","1.0"
"#RIP","#TheTonightShow","1.0"
"#JuanGabriel","#TheTonightShow","1.0"
"#DivoDeJuarez","#TheTonightShow","1.0"
"#DeclareYourAmbition","#TheTonightShow","1.0"
"#OpioidAwarenessWeek","#TheTonightShow","1.0"
"#DefendtheSecond","#TheTonightShow","1.0"
"#GoodTrouble","#TheTonightShow","1.0"
"#SCOTUS","#TheTonightShow","1.0"
"#ADA","#TheTonightShow","1.0"
"#imwithher","#TheTonightShow","1.0"
"#CripTheVote","#TheTonightShow","1.0"
"#TerenceCrutcher","#TheTonightShow","1.0"
"#LGBT","#TheTonightShow","1.0"
"#2A","#TheTonightShow","1.0"
"#DemsinPHL","#TheTonightShow","1.0"
"#RNCInCLE","#TheTonightShow","1.0"
"#BlackMenForBernie","#TheTonightShow","1.0"
"#polls","#TheTonightShow","1.0"
"#TheDonald","#TheTonightShow","0.0"
"#JimmyFallon","#TheTonightShow","0.0"
"#Hillary2016","#TheTonightShow","1.0"
"#BlacksForTrump","#TheTonightShow","1.0"
"#DNCinPHL","#TheTonightShow","1.0"
"#DemConvention","#TheTonightShow","1.0"
"#NAACP107","#TheTonightShow","1.0"
"#Enjoy","#TheTonightShow","1.0"
"#taxplan","#TheTonightShow","1.0"
"#smallbiz","#TheTonightShow","1.0"
"#FlashbackFriday","#TheTonightShow","1.0"
"#PurpleHeartDay","#TheTonightShow","1.0"
"#ImWithHernandez","#TheTonightShow","1.0"
"#sendDonaldtospace","#TheTonightShow","1.0"
"#AIDSFreeGeneration","#TheTonightShow","1.0"
"#MSM","#TheTonightShow","1.0"
"#MAGA","#TheTonightShow","1.0"
"#StopGunViolence","#TheTonightShow","1.0"
"#NeverTrump","#TheTonightShow","1.0"
"#KhizrKhan","#TheTonightShow","1.0"
"#RNCinCLE","#TheTonightShow","1.0"
"#DemsInPHL","#TheTonightShow","1.0"
"#HillaryKaine2016","#TheTonightShow","1.0"
"#60Minutes","#TheTonightShow","1.0"
"#FeelTheBern","#TheTonightShow","1.0"
"#GOPinCLE","#TheTonightShow","1.0"
"#makersandtakers","#TheTonightShow","1.0"
"#campaignfinance","#TheTonightShow","1.0"
"#NATO","#TheTonightShow","1.0"
"#StandTogether","#TheTonightShow","1.0"
"#CitizensUnited","#TheTonightShow","1.0"
"#GOPConvention","#TheTonightShow","1.0"
"#NeverForget","#TheTonightShow","1.0"
"#fixdemocracyfirst","#TheTonightShow","1.0"
"#Orlando","#TheTonightShow","1.0"
"#ImWithHer","#TheTonightShow","1.0"
"#Srebrenica","#TheTonightShow","1.0"
"#StoptheHate","#TheTonightShow","1.0"
"#LeadRight2016","#TheTonightShow","1.0"
"#FirstInPOTUS","#TheTonightShow","1.0"
"#RiggedSystem","#TheTonightShow","1.0"
"#ImWithYou","#TheTonightShow","1.0"
"#TBT","#TheTonightShow","1.0"
"#ICYMI","#TheTonightShow","1.0"
"#LoveTrumpsHate","#TheTonightShow","1.0"
"#CreatorsAskHRC","#TheTonightShow","1.0"
"#AmericaFirst","#TheTonightShow","1.0"
"#CrookedHillary","#TheTonightShow","1.0"
"#AlwaysTrump","#TheTonightShow","1.0"
"#Hannity","#TheTonightShow","1.0"
"#POTUS","#TheTonightShow","1.0"
"#OHHillYes","#TheTonightShow","1.0"
"#dtmag","#TheTonightShow","1.0"
"#NYCPride","#TheTonightShow","1.0"
"#MegynKellyPresents","#TheTonightShow","1.0"
"#INDPrimary","#TheTonightShow","1.0"
"#DemPlatform","#TheTonightShow","1.0"
"#Brexit","#TheTonightShow","1.0"
"#ORPrimary","#TheTonightShow","1.0"
"#MadeInAmerica","#TheTonightShow","1.0"
"#BrexitVote","#TheTonightShow","1.0"
"#DemocraticSitIn","#TheTonightShow","1.0"
"#imwithyou","#TheTonightShow","1.0"
"#Clinton","#TheTonightShow","1.0"
"#gunviolence","#TheTonightShow","1.0"
"#AsLongAsItTakes","#TheTonightShow","1.0"
"#EauClaire","#TheTonightShow","1.0"
"#Indiana","#TheTonightShow","1.0"
"#sitin","#TheTonightShow","1.0"
"#EndGunViolence","#TheTonightShow","1.0"
"#NotOneMore","#TheTonightShow","1.0"
"#InternationalNursesDay","#TheTonightShow","1.0"
"#holdthefloor","#TheTonightShow","1.0"
"#NoMoreSilence","#TheTonightShow","1.0"
"#goodtrouble","#TheTonightShow","1.0"
"#NoBillNoBreak","#TheTonightShow","1.0"
"#Olmstead","#TheTonightShow","1.0"
"#GIBill","#TheTonightShow","1.0"
"#MoreInCommon","#TheTonightShow","1.0"
"#Imwithyou","#TheTonightShow","1.0"
"#DisarmHate","#TheTonightShow","1.0"
"#Statehood","#TheTonightShow","1.0"
"#LaudatoSi","#TheTonightShow","1.0"
"#presidenttrump","#TheTonightShow","1.0"
"#primary","#TheTonightShow","1.0"
"#JohnRyder","#TheTonightShow","1.0"
"#Charleston9","#TheTonightShow","1.0"
"#GOPDebate","#TheTonightShow","1.0"
"#ShesWithUs","#TheTonightShow","1.0"
"#Enough","#TheTonightShow","1.0"
"#Filibuster","#TheTonightShow","1.0"
